,tweet_id,retweet_count,favorite_count
0,892420643555336193,6961,33635
1,892177421306343426,5266,29179
2,891815181378084864,3463,21949
3,891689557279858688,7183,36743
4,891327558926688256,7707,35101
5,891087950875897856,2580,17704
6,890971913173991426,1644,10307
7,890729181411237888,15664,56543
8,890609185150312448,3599,24396
9,890240255349198849,6059,27800
10,890006608113172480,6104,26910
11,889880896479866881,4136,24446
12,889665388333682689,8293,41819
13,889638837579907072,3695,23533
14,889531135344209921,1873,13282
15,889278841981685760,4414,21965
16,888917238123831296,3739,25475
17,888804989199671297,3508,22345
18,888554962724278272,2859,17225
19,888078434458587136,2881,19069
20,887705289381826560,4513,26471
21,887517139158093824,9801,40503
22,887473957103951883,14940,59861
23,887343217045368832,8766,29458
24,887101392804085760,4965,26841
25,886983233522544640,6280,30191
26,886736880519319552,2609,10448
27,886680336477933568,3717,19622
28,886366144734445568,2609,18455
29,886267009285017600,4,105
30,886258384151887873,5244,24401
31,886054160059072513,93,0
32,885984800019947520,5585,28442
33,885528943205470208,5303,31424
34,885518971528720385,3095,17916
35,885311592912609280,15343,0
36,885167619883638784,3649,19147
37,884925521741709313,14924,66804
38,884876753390489601,4634,24255
39,884562892145688576,3891,21192
40,884441805382717440,4773,23749
41,884247878851493888,16795,62840
42,884162670584377345,2493,17848
43,883838122936631299,2847,19043
44,883482846933004288,8211,40001
45,883360690899218434,3059,19845
46,883117836046086144,5506,32325
47,882992080364220416,3225,20867
48,882762694511734784,4071,24647
49,882627270321602560,5036,24481
50,882268110199369728,9570,38973
51,882045870035918850,4061,25591
52,881906580714921986,2836,21347
53,881666595344535552,8902,44312
54,881633300179243008,8,113
55,881536004380872706,13331,43211
56,881268444196462592,4476,20395
57,880935762899988482,2325,14982
58,880872448815771648,3189,18607
59,880465832366813184,5185,24883
60,880221127280381952,3443,23528
61,880095782870896641,3633,24188
62,879862464715927552,2912,19605
63,879674319642796034,9,281
64,879492040517615616,2617,20598
65,879415818425184262,37169,92311
66,879376492567855104,2632,14781
67,879130579576475649,5704,0
68,879050749262655488,3930,19704
69,879008229531029506,2230,16683
70,878776093423087618,3414,17056
71,878604707211726852,5893,26310
72,878404777348136964,1066,0
73,878316110768087041,5495,0
74,878281511006478336,1068,6746
75,878057613040115712,5704,36951
76,877736472329191424,15710,68842
77,877611172832227328,70,0
78,877556246731214848,3147,19809
79,877316821321428993,4318,24024
80,877201837425926144,4599,23752
81,876838120628539392,2792,18130
82,876537666061221889,3958,20975
83,876484053909872640,1987,16486
84,876120275196170240,3885,24570
85,875747767867523072,3562,21997
86,875144289856114688,4130,19340
87,875097192612077568,5090,24126
88,875021211251597312,3951,22454
89,874680097055178752,3902,24463
90,874434818259525634,12144,0
91,874296783580663808,3464,22849
92,874057562936811520,3364,20031
93,874012996292530176,8539,29991
94,873580283840344065,3331,21276
95,873337748698140672,1324,0
96,873213775632977920,1324,6296
97,872967104147763200,4542,23934
98,872820683541237760,3156,13007
99,872620804844003328,3055,18233
100,872486979161796608,7678,35924
101,872122724285648897,6792,30075
102,871879754684805121,9197,32920
103,871762521631449091,2950,17782
104,871515927908634625,2923,17825
105,871166179821445120,4872,0
106,871102520638267392,4644,18458
107,871032628920680449,3212,20062
108,870804317367881728,5263,29675
109,870726314365509632,3,105
110,870656317836468226,2189,10831
111,870374049280663552,22632,73602
112,870308999962521604,3529,19391
113,870063196459192321,7044,32277
114,869772420881756160,8652,37832
115,869702957897576449,5357,24933
116,869596645499047938,2624,14126
117,869227993411051520,3179,18058
118,868880397819494401,12185,57629
119,868639477480148993,1736,0
120,868622495443632128,4438,23523
121,868552278524837888,1736,8921
122,867900495410671616,3552,21479
123,867774946302451713,6223,30105
124,867421006826221569,2108,14280
125,867072653475098625,100,0
126,867051520902168576,6748,28575
127,866720684873056260,4111,17781
128,866686824827068416,2950,17039
129,866450705531457537,30020,108379
130,866334964761202691,12144,46348
131,866094527597207552,7126,0
132,865718153858494464,4807,22812
133,865359393868664832,4264,23483
134,865006731092295680,6624,24920
135,864873206498414592,7466,28695
136,864279568663928832,2566,13004
137,864197398364647424,7541,26509
138,863907417377173506,3571,18334
139,863553081350529029,3610,13613
140,863471782782697472,2081,0
141,863432100342583297,4538,21204
142,863427515083354112,80,1956
143,863079547188785154,948,7869
144,863062471531167744,2081,7483
145,862831371563274240,4439,17146
146,862722525377298433,3068,15268
147,862457590147678208,4226,18175
148,862096992088072192,19881,65872
149,861383897657036800,9217,32116
150,861288531465048066,3571,15284
151,861005113778896900,3316,14925
152,860981674716409858,1846,0
153,860924035999428608,674,0
154,860563773140209665,1846,6692
155,860524505164394496,4579,21165
156,860276583193509888,3055,16499
157,860184849394610176,5100,14945
158,860177593139703809,26579,0
159,859924526012018688,3567,17526
160,859851578198683649,3056,13928
161,859607811541651456,1359,16751
162,859196978902773760,26142,80035
163,859074603037188101,11908,30265
164,858860390427611136,7036,0
165,858843525470990336,3015,14058
166,858471635011153920,4234,19388
167,858107933456039936,2528,14156
168,857989990357356544,2255,14424
169,857746408056729600,9304,30647
170,857393404942143489,1436,5287
171,857263160327368704,3954,18178
172,857214891891077121,16,204
173,857062103051644929,146,0
174,857029823797047296,3468,16972
175,856543823941562368,2531,14774
176,856526610513747968,1648,10787
177,856288084350160898,15,487
178,856282028240666624,5556,25112
179,855862651834028034,21,301
180,855860136149123072,850,4392
181,855857698524602368,1853,10824
182,855851453814013952,16067,41779
183,855818117272018944,4793,24198
184,855459453768019968,7275,26986
185,855245323840757760,5239,0
186,855138241867124737,36,0
187,854732716440526848,5319,20603
188,854482394044301312,5992,26459
189,854365224396361728,4130,17127
190,854120357044912130,6569,29088
191,854010172552949760,2782,14785
192,853760880890318849,5100,25974
193,853639147608842240,8825,31391
194,853299958564483072,3158,14109
195,852936405516943360,1782,0
196,852912242202992640,1591,8213
197,852672615818899456,1900,13591
198,852553447878664193,3098,14822
199,852311364735569921,8834,30251
200,852226086759018497,6066,18292
201,852189679701164033,1413,10544
202,851591660324737024,3115,14900
203,851464819735769094,6284,22190
204,851224888060895234,5150,18958
205,850753642995093505,8043,28010
206,850380195714523136,2323,12023
207,850333567704068097,301,3175
208,850145622816686080,3379,14979
209,850019790995546112,4350,18694
210,849776966551130114,6790,27821
211,849668094696017920,4427,0
212,849412302885593088,2816,14618
213,849336543269576704,1681,10524
214,849051919805034497,7594,38832
